,Lane,GameID,Champion
1898,JUNGLE,3015725459,120
1899,JUNGLE,3015699710,254
1900,BOTTOM,3015708650,236
1901,MID,3015722304,15
1902,BOTTOM,3015696880,119
1903,BOTTOM,3015649118,67
1904,NONE,3015301797,96
1905,JUNGLE,3015770200,68
1906,JUNGLE,3015756902,517
1907,MID,3015733621,238
1908,NONE,3015739860,104
1909,NONE,3015708951,24
1910,JUNGLE,3013684952,121
1911,JUNGLE,3012414818,104
1912,JUNGLE,3012389002,113
1913,TOP,3012402528,8
1914,JUNGLE,3012368989,64
1915,BOTTOM,3015997966,37
1916,BOTTOM,3015956934,16
1917,BOTTOM,3015378132,89
1918,BOTTOM,3015348318,16
1919,BOTTOM,3015328047,16
1920,NONE,3015835126,268
1921,MID,3015641445,91
1922,MID,3015632946,91
1923,NONE,3015597631,91
1924,MID,3015578416,91
1925,BOTTOM,3015782636,15
1926,TOP,3015760499,15
1927,NONE,3015741391,15
1928,BOTTOM,3015699710,37
1929,BOTTOM,3015683674,15
1930,MID,3014108785,157
1931,MID,3014105707,157
1932,MID,3014101439,157
1933,MID,3014076098,238
1934,MID,3014049643,157
1935,BOTTOM,3013595087,145
1936,NONE,3013613876,67
1937,MID,3013593137,67
1938,NONE,3012288039,67
1939,NONE,3012277792,145
1940,JUNGLE,3015037509,64
1941,JUNGLE,3015021669,60
1942,JUNGLE,3014623752,64
1943,JUNGLE,3014565528,64
1944,JUNGLE,3014453563,64
1945,MID,3015917945,1
1946,NONE,3015921537,4
1947,TOP,3015858296,8
1948,BOTTOM,3015750513,12
1949,MID,3015714044,8
1950,BOTTOM,3015570058,81
1951,TOP,3014544581,127
1952,BOTTOM,3013507245,81
1953,BOTTOM,3012585470,67
1954,BOTTOM,3012020602,222
1955,BOTTOM,3015434982,67
1956,BOTTOM,3015418559,145
1957,BOTTOM,3014571211,3
1958,BOTTOM,3014466871,236
1959,BOTTOM,3014453563,3
1960,NONE,3012034257,117
1961,BOTTOM,3012015377,117
1962,BOTTOM,3011953341,37
1963,BOTTOM,3009742442,25
1964,BOTTOM,3008701768,37
1965,JUNGLE,3015568851,6
1966,JUNGLE,3015124924,421
1967,JUNGLE,3015122622,421
1968,JUNGLE,3015110291,421
1969,NONE,3015098348,6
1970,BOTTOM,3015941315,12
1971,NONE,3015916030,42
1972,BOTTOM,3015904880,412
1973,NONE,3015900119,127
1974,MID,3015853986,16
1975,JUNGLE,3015931414,60
1976,BOTTOM,3015868938,119
1977,NONE,3015852872,60
1978,JUNGLE,3015281210,60
1979,JUNGLE,3015264187,121
1980,JUNGLE,3015638450,79
1981,BOTTOM,3015601872,21
1982,BOTTOM,3015504768,18
1983,BOTTOM,3015475387,51
1984,BOTTOM,3015457301,51
1985,BOTTOM,3015990530,143
1986,BOTTOM,3015963198,201
1987,BOTTOM,3015550982,412
1988,NONE,3015532490,497
1989,TOP,3015501346,25
1990,MID,3014400474,157
1991,MID,3014328153,157
1992,NONE,3014333968,157
1993,MID,3014307573,84
1994,MID,3014283185,42
1995,MID,3014426469,238
